epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,18994.7,0.95782,0.89276,1.33175,0.78758,0.71426,0.75696,0.53676,1.16255,1.04656,1.47118,0.005842,0.005842,0.005842
44,19433,0.94471,0.86961,1.3208,0.78925,0.70672,0.76506,0.54497,1.15264,1.00367,1.47092,0.005743,0.005743,0.005743
45,19870.3,0.93569,0.86344,1.31937,0.75514,0.72215,0.76574,0.54792,1.15453,1.02174,1.46072,0.005644,0.005644,0.005644
46,20305.8,0.91777,0.85391,1.30762,0.81159,0.6988,0.77177,0.5511,1.15161,1.02333,1.46748,0.005545,0.005545,0.005545
47,20742.6,0.9185,0.83967,1.29832,0.78333,0.71621,0.76539,0.55112,1.13952,1.02047,1.43757,0.005446,0.005446,0.005446
48,21178.3,0.91012,0.83942,1.29745,0.80048,0.70527,0.7635,0.54667,1.13552,1.01275,1.44136,0.005347,0.005347,0.005347
49,21613.4,0.90377,0.82636,1.29222,0.78422,0.70976,0.76452,0.54941,1.14634,1.0146,1.46559,0.005248,0.005248,0.005248
50,22050.7,0.89279,0.80611,1.28455,0.79831,0.70423,0.76232,0.54041,1.16326,1.01581,1.46533,0.005149,0.005149,0.005149
51,22486,0.87366,0.80397,1.27101,0.79617,0.72726,0.77663,0.56321,1.13869,1.015,1.45386,0.00505,0.00505,0.00505
52,22920.1,0.87697,0.78407,1.26967,0.76804,0.7446,0.78356,0.56415,1.14059,0.99467,1.45148,0.004951,0.004951,0.004951
53,23355.1,0.87442,0.77885,1.26914,0.79196,0.70663,0.77236,0.55244,1.15907,1.02282,1.48272,0.004852,0.004852,0.004852
54,23790.2,0.86132,0.76783,1.2647,0.75708,0.72912,0.76664,0.55905,1.13052,1.00224,1.46186,0.004753,0.004753,0.004753
55,24223,0.86097,0.74689,1.25625,0.7991,0.71069,0.76905,0.55517,1.13828,1.01466,1.47194,0.004654,0.004654,0.004654
56,24657,0.84249,0.74691,1.24624,0.78911,0.72537,0.76864,0.55968,1.14311,1.00856,1.4846,0.004555,0.004555,0.004555
57,25089.6,0.84711,0.73632,1.24518,0.79774,0.73952,0.78352,0.5705,1.1323,0.98755,1.46218,0.004456,0.004456,0.004456
58,25523.9,0.83562,0.73869,1.24223,0.82055,0.7213,0.7806,0.57255,1.11885,0.97104,1.45961,0.004357,0.004357,0.004357
59,25959.6,0.83304,0.7253,1.23561,0.79024,0.72879,0.76959,0.56218,1.13197,1.01745,1.46835,0.004258,0.004258,0.004258
60,26394.1,0.82197,0.70712,1.22978,0.82315,0.71548,0.78311,0.57103,1.12679,1.01605,1.46854,0.004159,0.004159,0.004159
